"Request","CDNO","ITEM_NM","QTY"
"MP05-26A","B080004-2025","SR-CC-K-1.5-BK",2.00
"MP05-26A","B080004-2025","SR-FP320-YL-1326-1.00-BK",1.00
"MP05-26A","B080004-2025","SR-FP320-YM-1326-BK",4.00
"MP05-26A","B080004-2025","SR-FP320-YR-1326-1.00-BK",1.00
"MP05-26A","B080004-2025","SR-IKE-65-BK",1.00
"MP05-26A","B080004-2025","SR-IKE-65-L-BK",1.00
"MP05-26A","B080004-2025","SR-IKE-65-LM-BK",3.00
"MP05-26A","B080004-2025","SR-IKE-65-R-BK",1.00
"MP05-26A","B080004-2025","SR-IKE-65-RM-BK",3.00
"MP05-26A","B080004-2025","SR-IM-CK-P-1.5-BK",3.00
"MP05-26A","B080004-2025","SR-IM-CK-P-1.5-L-BK",1.00
"MP05-26A","B080004-2025","SR-IM-CK-P-1.5-R-BK",1.00
"MP05-26A","B080004-2025","SR-IMK-KBH-Y-09281326-100-BK",16.00
"MP05-26A","B080004-2025","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP05-26A","B080004-2025","SR-IMK-MNH-YM-09281326-100-BK",4.00
"MP05-26A","B080004-2025","SR-IMK-MNH-YR-09281326-100-BK",1.00
"MP05-26A","B080004-2025","SR-IMK-NKH-YL-09281326-100-BK",1.00
"MP05-26A","B080004-2025","SR-IMK-NKH-YM-09281326-100-BK",4.00
"MP05-26A","B080004-2025","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP05-26A","B080004-2025","SR-KR22-40-20-YL-1326-1.00-BK",1.00
"MP05-26A","B080004-2025","SR-KR22-40-20-YM-1326-1.00-BK",4.00
"MP05-26A","B080004-2025","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP05-26A","B080004-2025","SR-MFP-K-170-18-L-BK",1.00
"MP05-26A","B080004-2025","SR-MFP-K-170-18-M-BK",3.00
"MP05-26A","B080004-2025","SR-MFP-K-170-18-R-BK",1.00
"MP05-26A","B080004-2025","SR-SCW-WD-L30-KBH-BK",68.00
"MP05-26A","B110007-2025","SR-CC-K-1.5-BK",2.00
"MP05-26A","B110007-2025","SR-FP505-HS-BK",25.10
"MP05-26A","B110007-2025","SR-IM-CK-P-1.5-BK",4.00
"MP05-26A","B110007-2025","SR-IM-CK-P-1.5-HS-L-BK",1.00
"MP05-26A","B110007-2025","SR-IM-CK-P-1.5-HS-R-BK",1.00
"MP05-26A","B110007-2025","SR-IMK-KBH-Y-BS-09281326-100-BK",16.00
"MP05-26A","B110007-2025","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP05-26A","B110007-2025","SR-IMK-MNH-YM-09281326-100-BK",5.00
"MP05-26A","B110007-2025","SR-IMK-MNH-YR-09281326-025-BK",1.00
"MP05-26A","B110007-2025","SR-IMK-NKH-YL-09281326-025-BK",1.00
"MP05-26A","B110007-2025","SR-IMK-NKH-YM-09281326-100-BK",5.00
"MP05-26A","B110007-2025","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP05-26A","B110007-2025","SR-KR95-50-HS-BK",15.00
"MP05-26A","B110007-2025","SR-MFP-K-170-18-M-BK",5.00
"MP05-26A","B110007-2025","SR-SCW-WD-L30-KBH-BK",68.00
"MP05-26A","B120036-2025","SR-CC-K-1.5-BK",2.00
"MP05-26A","B120036-2025","SR-FP320-YL-1326-1.00-BK",1.00
"MP05-26A","B120036-2025","SR-FP320-YM-1326-BK",3.00
"MP05-26A","B120036-2025","SR-FP320-YR-1326-1.00-BK",1.00
"MP05-26A","B120036-2025","SR-FP320-YR-1326-1.25-BK",1.00
"MP05-26A","B120036-2025","SR-IKE-65-BK",3.00
"MP05-26A","B120036-2025","SR-IKE-65-L-BK",1.00
"MP05-26A","B120036-2025","SR-IKE-65-LM-BK",3.00
"MP05-26A","B120036-2025","SR-IKE-65-R-BK",2.00
"MP05-26A","B120036-2025","SR-IKE-65-RM-BK",2.00
"MP05-26A","B120036-2025","SR-IM-CK-P-1.5-BK",3.00
"MP05-26A","B120036-2025","SR-IM-CK-P-1.5-L-BK",1.00
"MP05-26A","B120036-2025","SR-IM-CK-P-1.5-R-BK",1.00
"MP05-26A","B120036-2025","SR-IMK-KBH-Y-09281326-100-BK",17.00
"MP05-26A","B120036-2025","SR-IMK-KBH-Y-SR-09281326-100-BK",1.00
"MP05-26A","B120036-2025","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP05-26A","B120036-2025","SR-IMK-MNH-YM-09281326-100-BK",4.00
"MP05-26A","B120036-2025","SR-IMK-MNH-YR-09281326-100-BK",1.00
"MP05-26A","B120036-2025","SR-IMK-NKH-YL-09281326-075-BK",1.00
"MP05-26A","B120036-2025","SR-IMK-NKH-YL-09281326-100-BK",1.00
"MP05-26A","B120036-2025","SR-IMK-NKH-YM-09281326-100-BK",3.00
"MP05-26A","B120036-2025","SR-IMK-NKH-YR-09281326-025-BK",1.00
"MP05-26A","B120036-2025","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP05-26A","B120036-2025","SR-KR22-40-20-YL-1326-1.00-BK",1.00
"MP05-26A","B120036-2025","SR-KR22-40-20-YM-1326-1.00-BK",3.00
"MP05-26A","B120036-2025","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP05-26A","B120036-2025","SR-KR22-40-20-YR-1326-1.25-BK",1.00
"MP05-26A","B120036-2025","SR-MFP-K-170-18-L-BK",1.00
"MP05-26A","B120036-2025","SR-MFP-K-170-18-M-BK",3.00
"MP05-26A","B120036-2025","SR-MFP-K-170-18-R-BK",1.00
"MP05-26A","B120036-2025","SR-SCW-WD-L30-KBH-BK",76.00
"MP05-26A","B120036-2025","SR-SG-150-R-BK",1.00
"MP05-26A","B160023-2025","HAFU-184-20-2900-BK",3.00
"MP05-26A","B160023-2025","HAFU-184-40-2900-BK",4.00
"MP05-26A","B160023-2025","HAFU-184-40-N30-2900-BK",4.00
"MP05-26A","B160023-2025","HAFU-184-N30-2900-BK",5.00
"MP05-26A","B160023-2025","HAFU-184-N-K1.5-2900-BK",4.00
"MP05-26A","B160026-2025","SR-CC-K-1.5-BK",2.00
"MP05-26A","B160026-2025","SR-FP320-YL-1326-0.25-BK",1.00
"MP05-26A","B160026-2025","SR-FP320-YM-1326-BK",6.00
"MP05-26A","B160026-2025","SR-FP320-YR-1326-1.00-BK",1.00
"MP05-26A","B160026-2025","SR-IKE-65-BK",1.00
"MP05-26A","B160026-2025","SR-IKE-65-L-BK",1.00
"MP05-26A","B160026-2025","SR-IKE-65-LM-BK",3.00
"MP05-26A","B160026-2025","SR-IKE-65-R-BK",1.00
"MP05-26A","B160026-2025","SR-IKE-65-RM-BK",3.00
"MP05-26A","B160026-2025","SR-IM-CK-P-1.5-BK",4.00
"MP05-26A","B160026-2025","SR-IM-CK-P-1.5-L-BK",1.00
"MP05-26A","B160026-2025","SR-IM-CK-P-1.5-R-BK",1.00
"MP05-26A","B160026-2025","SR-IMK-KBH-Y-09281326-100-BK",16.00
"MP05-26A","B160026-2025","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP05-26A","B160026-2025","SR-IMK-MNH-YM-09281326-100-BK",6.00
"MP05-26A","B160026-2025","SR-IMK-MNH-YR-09281326-025-BK",1.00
"MP05-26A","B160026-2025","SR-IMK-NKH-YL-09281326-025-BK",1.00
"MP05-26A","B160026-2025","SR-IMK-NKH-YM-09281326-100-BK",6.00
"MP05-26A","B160026-2025","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP05-26A","B160026-2025","SR-KR22-40-20-YL-1326-0.25-BK",1.00
"MP05-26A","B160026-2025","SR-KR22-40-20-YM-1326-1.00-BK",6.00
"MP05-26A","B160026-2025","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP05-26A","B160026-2025","SR-MFP-K-170-18-L-BK",1.00
"MP05-26A","B160026-2025","SR-MFP-K-170-18-M-BK",4.00
"MP05-26A","B160026-2025","SR-MFP-K-170-18-R-BK",1.00
"MP05-26A","B160026-2025","SR-SCW-WD-L30-KBH-BK",68.00
"MP05-26A","B240000-0141","HAFU-184-40-N30-2900-IV",3.00
"MP05-26A","B240000-0141","HAFU-184-N30-2900-IV",8.00
"MP05-26A","B240000-0141","HAFU-184-N-K1.5-2900-IV",3.00
"MP05-26C","F03U136-2416","SR-CC-K-1.5-BK",2.00
"MP05-26C","F03U136-2416","SR-FP505-HS-BK",32.30
"MP05-26C","F03U136-2416","SR-IM-CK-P-1.5-BK",3.00
"MP05-26C","F03U136-2416","SR-IM-CK-P-1.5-HS-L-BK",1.00
"MP05-26C","F03U136-2416","SR-IM-CK-P-1.5-HS-R-BK",1.00
"MP05-26C","F03U136-2416","SR-IMK-KBH-Y-BS-1326-0.25-BK",2.00
"MP05-26C","F03U136-2416","SR-IMK-KBH-Y-BS-1326-1.00-BK",20.00
"MP05-26C","F03U136-2416","SR-IMK-MNH-YL-1326-1.00-BK",1.00
"MP05-26C","F03U136-2416","SR-IMK-MNH-YM-1326-1.00-BK",4.00
"MP05-26C","F03U136-2416","SR-IMK-MNH-YR-1326-1.00-BK",1.00
"MP05-26C","F03U136-2416","SR-IMK-NKH-YL-1326-1.00-BK",2.00
"MP05-26C","F03U136-2416","SR-IMK-NKH-YM-1326-1.00-BK",2.00
"MP05-26C","F03U136-2416","SR-IMK-NKH-YR-1326-1.00-BK",2.00
"MP05-26C","F03U136-2416","SR-KR95-50-HS-BK",19.00
"MP05-26C","F03U136-2416","SR-MFP-K-170-18-M-BK",5.00
"MP05-26C","F03U136-2416","SR-SCW-WD-L30-KBH-BK",89.00
"MP05-26C","F03U136-2416","SR-SG-150-HS-R-BK",1.00
"MP05-26C","F05U204-2501","HAFU-184-20-2900-BK",3.00
