"Request","CDNO","ITEM_NM","QTY"
"MP35-25A","B080010-2024","SR-CC-K-1.5-BK",2.00
"MP35-25A","B080010-2024","SR-FP320-YL-1326-1.00-BK",1.00
"MP35-25A","B080010-2024","SR-FP320-YM-1326-BK",4.00
"MP35-25A","B080010-2024","SR-FP320-YR-1326-1.00-BK",1.00
"MP35-25A","B080010-2024","SR-IKE-65-BK",2.00
"MP35-25A","B080010-2024","SR-IKE-65-L-BK",1.00
"MP35-25A","B080010-2024","SR-IKE-65-LM-BK",3.00
"MP35-25A","B080010-2024","SR-IKE-65-R-BK",1.00
"MP35-25A","B080010-2024","SR-IKE-65-RM-BK",3.00
"MP35-25A","B080010-2024","SR-IM-CK-P-1.5-BK",3.00
"MP35-25A","B080010-2024","SR-IM-CK-P-1.5-L-BK",1.00
"MP35-25A","B080010-2024","SR-IM-CK-P-1.5-R-BK",1.00
"MP35-25A","B080010-2024","SR-IMK-KBH-Y-09281326-100-BK",18.00
"MP35-25A","B080010-2024","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP35-25A","B080010-2024","SR-IMK-MNH-YM-09281326-100-BK",4.00
"MP35-25A","B080010-2024","SR-IMK-MNH-YR-09281326-100-BK",1.00
"MP35-25A","B080010-2024","SR-IMK-NKH-YL-09281326-100-BK",1.00
"MP35-25A","B080010-2024","SR-IMK-NKH-YM-09281326-100-BK",4.00
"MP35-25A","B080010-2024","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP35-25A","B080010-2024","SR-KR22-40-20-YL-1326-1.00-BK",1.00
"MP35-25A","B080010-2024","SR-KR22-40-20-YM-1326-1.00-BK",4.00
"MP35-25A","B080010-2024","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP35-25A","B080010-2024","SR-MFP-K-170-18-L-BK",1.00
"MP35-25A","B080010-2024","SR-MFP-K-170-18-M-BK",3.00
"MP35-25A","B080010-2024","SR-MFP-K-170-18-R-BK",1.00
"MP35-25A","B080010-2024","SR-SCW-WD-L30-KBH-BK",76.00
"MP35-25A","B110011-2024","HAFU-213-N30-2900-UC",9.00
"MP35-25A","B110011-2024","HAFU-213-N-K4.0-2900-UC",4.00
"MP35-25A","B110012-2024","MIZUKIRI-48-BR",24.00
"MP35-25A","B110012-2024","SFY-20",4.00
"MP35-25A","B110012-2024","SR-CC-K-4.0-BK",2.00
"MP35-25A","B110012-2024","SR-FP320-YL-1326-0.25-BK",1.00
"MP35-25A","B110012-2024","SR-FP320-YM-1326-BK",2.00
"MP35-25A","B110012-2024","SR-FP320-YR-1326-1.00-BK",1.00
"MP35-25A","B110012-2024","SR-IKE-65-BK",2.00
"MP35-25A","B110012-2024","SR-IKE-65-L-BK",1.00
"MP35-25A","B110012-2024","SR-IKE-65-LM-BK",3.00
"MP35-25A","B110012-2024","SR-IKE-65-R-BK",1.00
"MP35-25A","B110012-2024","SR-IKE-65-RM-BK",3.00
"MP35-25A","B110012-2024","SR-IM-CK-P-3.5-L-BK",1.00
"MP35-25A","B110012-2024","SR-IM-CK-P-3.5-R-BK",1.00
"MP35-25A","B110012-2024","SR-IM-CK-P-4.0-BK",1.00
"MP35-25A","B110012-2024","SR-IMK-KBH-Y-09281326-100-BK",18.00
"MP35-25A","B110012-2024","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP35-25A","B110012-2024","SR-IMK-MNH-YM-09281326-100-BK",2.00
"MP35-25A","B110012-2024","SR-IMK-MNH-YR-09281326-025-BK",1.00
"MP35-25A","B110012-2024","SR-IMK-NKH-YL-09281326-025-BK",1.00
"MP35-25A","B110012-2024","SR-IMK-NKH-YM-09281326-100-BK",2.00
"MP35-25A","B110012-2024","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP35-25A","B110012-2024","SR-KR22-40-20-YL-1326-0.25-BK",1.00
"MP35-25A","B110012-2024","SR-KR22-40-20-YM-1326-1.00-BK",2.00
"MP35-25A","B110012-2024","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP35-25A","B110012-2024","SR-MFP-K-170-22-L-BK",1.00
"MP35-25A","B110012-2024","SR-MFP-K-170-22-M-BK",1.00
"MP35-25A","B110012-2024","SR-MFP-K-170-22-R-BK",1.00
"MP35-25A","B110012-2024","SR-SCW-WD-L30-KBH-BK",76.00
"MP35-25A","B240000-0169","SR-CC-K-1.5-BK",2.00
"MP35-25A","B240000-0169","SR-FP320-YL-1326-1.00-BK",1.00
"MP35-25A","B240000-0169","SR-FP320-YM-1326-BK",4.00
"MP35-25A","B240000-0169","SR-FP320-YR-1326-1.00-BK",1.00
"MP35-25A","B240000-0169","SR-IKE-65-BK",1.00
"MP35-25A","B240000-0169","SR-IKE-65-L-BK",1.00
"MP35-25A","B240000-0169","SR-IKE-65-LM-BK",3.00
"MP35-25A","B240000-0169","SR-IKE-65-R-BK",1.00
"MP35-25A","B240000-0169","SR-IKE-65-RM-BK",3.00
"MP35-25A","B240000-0169","SR-IM-CK-P-1.5-BK",3.00
"MP35-25A","B240000-0169","SR-IM-CK-P-1.5-L-BK",1.00
"MP35-25A","B240000-0169","SR-IM-CK-P-1.5-R-BK",1.00
"MP35-25A","B240000-0169","SR-IMK-KBH-Y-09281326-100-BK",16.00
"MP35-25A","B240000-0169","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP35-25A","B240000-0169","SR-IMK-MNH-YM-09281326-100-BK",4.00
"MP35-25A","B240000-0169","SR-IMK-MNH-YR-09281326-100-BK",1.00
"MP35-25A","B240000-0169","SR-IMK-NKH-YL-09281326-100-BK",1.00
"MP35-25A","B240000-0169","SR-IMK-NKH-YM-09281326-100-BK",4.00
"MP35-25A","B240000-0169","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP35-25A","B240000-0169","SR-KR22-40-20-YL-1326-1.00-BK",1.00
"MP35-25A","B240000-0169","SR-KR22-40-20-YM-1326-1.00-BK",4.00
"MP35-25A","B240000-0169","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP35-25A","B240000-0169","SR-MFP-K-170-18-L-BK",1.00
"MP35-25A","B240000-0169","SR-MFP-K-170-18-M-BK",3.00
"MP35-25A","B240000-0169","SR-MFP-K-170-18-R-BK",1.00
"MP35-25A","B240000-0169","SR-SCW-WD-L30-KBH-BK",68.00
"MP35-25A","B240000-0223","SR-CC-K-4.0-BK",2.00
"MP35-25A","B240000-0223","SR-FP320-YL-1326-0.50-BK",1.00
"MP35-25A","B240000-0223","SR-FP320-YL-1326-1.00-BK",1.00
"MP35-25A","B240000-0223","SR-FP320-YM-1326-BK",6.00
"MP35-25A","B240000-0223","SR-FP320-YR-1326-1.00-BK",1.00
"MP35-25A","B240000-0223","SR-IKE-65-BK",2.00
"MP35-25A","B240000-0223","SR-IKE-65-L-BK",2.00
"MP35-25A","B240000-0223","SR-IKE-65-LM-BK",3.00
"MP35-25A","B240000-0223","SR-IKE-65-R-BK",1.00
"MP35-25A","B240000-0223","SR-IKE-65-RM-BK",4.00
"MP35-25A","B240000-0223","SR-IM-CK-P-3.5-L-BK",1.00
"MP35-25A","B240000-0223","SR-IM-CK-P-3.5-R-BK",1.00
"MP35-25A","B240000-0223","SR-IM-CK-P-4.0-BK",5.00
"MP35-25A","B240000-0223","SR-IMK-KBH-Y-09281326-075-BK",1.00
"MP35-25A","B240000-0223","SR-IMK-KBH-Y-09281326-100-BK",19.00
"MP35-25A","B240000-0223","SR-IMK-KBH-Y-SL-09281326-025-BK",1.00
"MP35-25A","B240000-0223","SR-IMK-MNH-YL-09281326-100-BK",1.00
"MP35-25A","B240000-0223","SR-IMK-MNH-YM-09281326-100-BK",6.00
"MP35-25A","B240000-0223","SR-IMK-MNH-YR-09281326-100-BK",1.00
"MP35-25A","B240000-0223","SR-IMK-NKH-YL-09281326-050-BK",1.00
"MP35-25A","B240000-0223","SR-IMK-NKH-YL-09281326-100-BK",1.00
"MP35-25A","B240000-0223","SR-IMK-NKH-YM-09281326-100-BK",5.00
"MP35-25A","B240000-0223","SR-IMK-NKH-YR-09281326-050-BK",1.00
"MP35-25A","B240000-0223","SR-IMK-NKH-YR-09281326-100-BK",1.00
"MP35-25A","B240000-0223","SR-KR22-40-20-YL-1326-0.50-BK",1.00
"MP35-25A","B240000-0223","SR-KR22-40-20-YL-1326-1.00-BK",1.00
"MP35-25A","B240000-0223","SR-KR22-40-20-YM-1326-1.00-BK",6.00
"MP35-25A","B240000-0223","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP35-25A","B240000-0223","SR-MFP-K-170-22-L-BK",1.00
"MP35-25A","B240000-0223","SR-MFP-K-170-22-M-BK",4.00
"MP35-25A","B240000-0223","SR-MFP-K-170-22-R-BK",1.00
"MP35-25A","B240000-0223","SR-SCW-WD-L30-KBH-BK",86.00
"MP35-25A","B240000-0223","SR-SG-150-L-BK",1.00
"MP35-25C","F01U510-2406","SR-CC-K-1.5-BK",2.00
"MP35-25C","F01U510-2406","SR-FP505-HS-BK",28.20
"MP35-25C","F01U510-2406","SR-IM-CK-P-1.5-BK",6.00
"MP35-25C","F01U510-2406","SR-IM-CK-P-1.5-HS-L-BK",1.00
"MP35-25C","F01U510-2406","SR-IM-CK-P-1.5-HS-R-BK",1.00
"MP35-25C","F01U510-2406","SR-IMK-KBH-Y-BS-1326-1.00-BK",14.00
"MP35-25C","F01U510-2406","SR-IMK-MNH-YL-1326-1.00-BK",1.00
"MP35-25C","F01U510-2406","SR-IMK-MNH-YM-1326-1.00-BK",7.00
"MP35-25C","F01U510-2406","SR-IMK-MNH-YR-1326-1.00-BK",1.00
"MP35-25C","F01U510-2406","SR-IMK-NKH-YL-1326-1.00-BK",1.00
"MP35-25C","F01U510-2406","SR-IMK-NKH-YM-1326-1.00-BK",7.00
"MP35-25C","F01U510-2406","SR-IMK-NKH-YR-1326-1.00-BK",1.00
"MP35-25C","F01U510-2406","SR-KR95-50-HS-BK",17.00
"MP35-25C","F01U510-2406","SR-MFP-K-170-18-M-BK",7.00
"MP35-25C","F01U510-2406","SR-SCW-WD-L30-KBH-BK",59.00
"MP35-25C","F03U156-2403","HAFU-184-20-2900-BK",1.00
"MP35-25C","F03U156-2403","HAFU-184-40-2900-BK",2.00
"MP35-25C","F03U156-2403","HAFU-184-40-N30-2900-BK",3.00
"MP35-25C","F03U156-2403","HAFU-184-N30-2900-BK",7.00
"MP35-25C","F03U156-2403","HAFU-184-N-K1.5-2900-BK",3.00
"MP35-25C","F04U668-2409","SR-CC-K-1.5-BK",2.00
"MP35-25C","F04U668-2409","SR-FP505-HS-BK",25.20
"MP35-25C","F04U668-2409","SR-IM-CK-P-1.5-BK",3.00
