"Request","CDNO","ITEM_NM","QTY"
"MP07-26A","B080004-2025","HAFU-184-40-B42-2900-IV",3.00
"MP07-26A","B080004-2025","HAFU-184-B42-2900-IV",6.00
"MP07-26A","B080004-2025","HAFU-184-B-K1.5-2900-IV",3.00
"MP07-26A","B110023-2025","SR-CC-K-1.5-BK",2.00
"MP07-26A","B110023-2025","SR-FP320-YL-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-FP320-YM-1326-BK",4.00
"MP07-26A","B110023-2025","SR-FP320-YR-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-IKE-65-BK",2.00
"MP07-26A","B110023-2025","SR-IKE-65-L-BK",1.00
"MP07-26A","B110023-2025","SR-IKE-65-LM-BK",3.00
"MP07-26A","B110023-2025","SR-IKE-65-R-BK",1.00
"MP07-26A","B110023-2025","SR-IKE-65-RM-BK",3.00
"MP07-26A","B110023-2025","SR-IM-CK-P-1.5-BK",3.00
"MP07-26A","B110023-2025","SR-IM-CK-P-1.5-L-BK",1.00
"MP07-26A","B110023-2025","SR-IM-CK-P-1.5-R-BK",1.00
"MP07-26A","B110023-2025","SR-IMK-KBH-Y-1326-1.00-BK",16.00
"MP07-26A","B110023-2025","SR-IMK-MNH-YL-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-IMK-MNH-YM-1326-1.00-BK",4.00
"MP07-26A","B110023-2025","SR-IMK-MNH-YR-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-IMK-NKH-YL-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-IMK-NKH-YM-1326-1.00-BK",4.00
"MP07-26A","B110023-2025","SR-IMK-NKH-YR-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-KR22-40-20-YL-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-KR22-40-20-YM-1326-1.00-BK",4.00
"MP07-26A","B110023-2025","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP07-26A","B110023-2025","SR-MFP-K-170-18-L-BK",1.00
"MP07-26A","B110023-2025","SR-MFP-K-170-18-M-BK",3.00
"MP07-26A","B110023-2025","SR-MFP-K-170-18-R-BK",1.00
"MP07-26A","B110023-2025","SR-SCW-WD-L30-KBH-BK",68.00
"MP07-26A","B160026-2025","HAFU-184-40-N30-2900-IV",4.00
"MP07-26A","B160026-2025","HAFU-184-N30-2900-IV",6.00
"MP07-26A","B160026-2025","HAFU-184-N-K1.5-2900-IV",4.00
"MP07-26A","B160045-2025","SR-CC-PP-3.5-BK",2.00
"MP07-26A","B160045-2025","SR-FP320-YL-1326-1.00-BK",1.00
"MP07-26A","B160045-2025","SR-FP320-YM-1326-BK",5.00
"MP07-26A","B160045-2025","SR-FP320-YR-1326-1.00-BK",1.00
"MP07-26A","B160045-2025","SR-FP320-YR-1326-1.25-BK",1.00
"MP07-26A","B160045-2025","SR-IKE-65-BK",3.00
"MP07-26A","B160045-2025","SR-IKE-65-L-BK",1.00
"MP07-26A","B160045-2025","SR-IKE-65-LM-BK",1.00
"MP07-26A","B160045-2025","SR-IKE-65-R-BK",2.00
"MP07-26A","B160045-2025","SR-IM-C-PC-BK",6.00
"MP07-26A","B160045-2025","SR-IMK-KBH-Y-09281326-075-BK",1.00
