"Request","CDNO","ITEM_NM","QTY"
"MP23-25A","B230000-0271","HAFU-184-40-N30-2900-IV",4.00
"MP23-25A","B230000-0271","HAFU-184-N30-2900-IV",5.00
"MP23-25A","B230000-0271","HAFU-184-N-K1.5-2900-IV",4.00
"MP23-25A","B240000-0155","SR-CC-K-1.5-BK",2.00
"MP23-25A","B240000-0155","SR-FP320-YL-1326-1.00-BK",2.00
"MP23-25A","B240000-0155","SR-FP320-YM-1326-BK",7.00
"MP23-25A","B240000-0155","SR-FP320-YR-1326-1.00-BK",1.00
"MP23-25A","B240000-0155","SR-FP320-YR-1326-1.25-BK",1.00
"MP23-25A","B240000-0155","SR-IKE-65-BK",3.00
"MP23-25A","B240000-0155","SR-IKE-65-L-BK",2.00
"MP23-25A","B240000-0155","SR-IKE-65-LM-BK",1.00
"MP23-25A","B240000-0155","SR-IKE-65-R-BK",2.00
"MP23-25A","B240000-0155","SR-IKE-65-RM-BK",2.00
"MP23-25A","B240000-0155","SR-IM-CK-P-1.5-BK",6.00
"MP23-25A","B240000-0155","SR-IM-CK-P-1.5-L-BK",1.00
"MP23-25A","B240000-0155","SR-IM-CK-P-1.5-R-BK",1.00
"MP23-25A","B240000-0155","SR-IMK-KBH-Y-09281326-100-BK",14.00
"MP23-25A","B240000-0155","SR-IMK-KBH-Y-SL-09281326-100-BK",1.00
"MP23-25A","B240000-0155","SR-IMK-KBH-Y-SR-09281326-100-BK",1.00
"MP23-25A","B240000-0155","SR-IMK-MNH-YL-09281326-025-BK",1.00
"MP23-25A","B240000-0155","SR-IMK-MNH-YM-09281326-100-BK",9.00
"MP23-25A","B240000-0155","SR-IMK-MNH-YR-09281326-100-BK",1.00
"MP23-25A","B240000-0155","SR-IMK-NKH-YL-09281326-100-BK",3.00
"MP23-25A","B240000-0155","SR-IMK-NKH-YM-09281326-100-BK",5.00
"MP23-25A","B240000-0155","SR-IMK-NKH-YR-09281326-025-BK",1.00
"MP23-25A","B240000-0155","SR-IMK-NKH-YR-09281326-100-BK",2.00
"MP23-25A","B240000-0155","SR-KR22-40-20-YL-1326-1.00-BK",2.00
"MP23-25A","B240000-0155","SR-KR22-40-20-YM-1326-1.00-BK",6.00
"MP23-25A","B240000-0155","SR-KR22-40-20-YR-1326-1.00-BK",1.00
"MP23-25A","B240000-0155","SR-KR22-40-20-YR-1326-1.25-BK",1.00
"MP23-25A","B240000-0155","SR-MFP-K-170-18-L-BK",1.00
"MP23-25A","B240000-0155","SR-MFP-K-170-18-M-BK",6.00
"MP23-25A","B240000-0155","SR-MFP-K-170-18-R-BK",1.00
"MP23-25A","B240000-0155","SR-SCW-WD-L30-KBH-BK",68.00
"MP23-25A","B240000-0155","SR-SG-150-L-BK",1.00
"MP23-25A","B240000-0155","SR-SG-150-R-BK",1.00
"MP23-25A","B240000-0178","SR-CC-K-1.5-BK",2.00
"MP23-25A","B240000-0178","SR-FP320-YL-1326-1.00-BK",1.00
"MP23-25A","B240000-0178","SR-FP320-YM-1326-BK",5.00
"MP23-25A","B240000-0178","SR-FP320-YR-1326-1.00-BK",2.00
"MP23-25A","B240000-0178","SR-FP320-YR-1326-1.50-BK",1.00
"MP23-25A","B240000-0178","SR-IKE-65-BK",3.00
"MP23-25A","B240000-0178","SR-IKE-65-L-BK",1.00
"MP23-25A","B240000-0178","SR-IKE-65-LM-BK",4.00
"MP23-25A","B240000-0178","SR-IKE-65-R-BK",3.00
"MP23-25A","B240000-0178","SR-IKE-65-RM-BK",2.00
"MP23-25A","B240000-0178","SR-IM-CK-P-1.5-BK",4.00
"MP23-25A","B240000-0178","SR-IM-CK-P-1.5-L-BK",1.00
"MP23-25A","B240000-0178","SR-IM-CK-P-1.5-R-BK",1.00
"MP23-25A","B240000-0178","SR-IMK-KBH-Y-09281326-050-BK",1.00
"MP23-25A","B240000-0178","SR-IMK-KBH-Y-09281326-100-BK",18.00
"MP23-25A","B240000-0178","SR-IMK-KBH-Y-SR-09281326-050-BK",1.00
"MP23-25A","B240000-0178","SR-IMK-KBH-Y-SR-09281326-100-BK",1.00
"MP23-25A","B240000-0178","SR-IMK-MNH-YL-09281326-050-BK",1.00
"MP23-25A","B240000-0178","SR-IMK-MNH-YM-09281326-100-BK",6.00
"MP23-25A","B240000-0178","SR-IMK-MNH-YR-09281326-100-BK",1.00
"MP23-25A","B240000-0178","SR-IMK-NKH-YL-09281326-100-BK",3.00
"MP23-25A","B240000-0178","SR-IMK-NKH-YM-09281326-100-BK",2.00
"MP23-25A","B240000-0178","SR-IMK-NKH-YR-09281326-050-BK",1.00
"MP23-25A","B240000-0178","SR-IMK-NKH-YR-09281326-100-BK",2.00
"MP23-25A","B240000-0178","SR-KR22-40-20-YL-1326-1.00-BK",1.00
"MP23-25A","B240000-0178","SR-KR22-40-20-YM-1326-1.00-BK",4.00
"MP23-25A","B240000-0178","SR-KR22-40-20-YR-1326-0.50-BK",1.00
"MP23-25A","B240000-0178","SR-KR22-40-20-YR-1326-1.00-BK",2.00
"MP23-25A","B240000-0178","SR-MFP-K-170-18-L-BK",1.00
"MP23-25A","B240000-0178","SR-MFP-K-170-18-M-BK",4.00
"MP23-25A","B240000-0178","SR-MFP-K-170-18-R-BK",1.00
"MP23-25A","B240000-0178","SR-SCW-WD-L30-KBH-BK",87.00
"MP23-25A","B240000-0178","SR-SG-150-R-BK",2.00
"MP23-25A","B240000-0180","HAFU-184-40-N30-2900-IV",3.00
"MP23-25A","B240000-0180","HAFU-184-N30-2900-IV",7.00
"MP23-25A","B240000-0180","HAFU-184-N-K1.5-2900-IV",3.00
"MP23-25C","F03U542-2406","HAFU-213-N30-2900-BK",16.00
"MP23-25C","F03U584-2405","SR-CC-K-1.5-BK",2.00
"MP23-25C","F03U584-2405","SR-FP505-HS-BK",29.70
"MP23-25C","F03U584-2405","SR-IM-CK-P-1.5-BK",3.00
"MP23-25C","F03U584-2405","SR-IM-CK-P-1.5-HS-L-BK",1.00
"MP23-25C","F03U584-2405","SR-IM-CK-P-1.5-HS-R-BK",1.00
"MP23-25C","F03U584-2405","SR-IMK-KBH-Y-BS-1326-1.00-BK",18.00
"MP23-25C","F03U584-2405","SR-IMK-MNH-YL-1326-1.00-BK",1.00
"MP23-25C","F03U584-2405","SR-IMK-MNH-YM-1326-1.00-BK",4.00
"MP23-25C","F03U584-2405","SR-IMK-MNH-YR-1326-1.00-BK",1.00
"MP23-25C","F03U584-2405","SR-IMK-NKH-YL-1326-1.00-BK",2.00
"MP23-25C","F03U584-2405","SR-IMK-NKH-YM-1326-1.00-BK",2.00
"MP23-25C","F03U584-2405","SR-IMK-NKH-YR-1326-1.00-BK",2.00
"MP23-25C","F03U584-2405","SR-KR95-50-HS-BK",17.00
"MP23-25C","F03U584-2405","SR-MFP-K-170-18-M-BK",5.00
"MP23-25C","F03U584-2405","SR-SCW-WD-L30-KBH-BK",76.00
"MP23-25C","F03U584-2405","SR-SG-150-HS-L-BK",1.00
"MP23-25C","F04U610-2402","SR-CC-K-1.5-BK",2.00
"MP23-25C","F04U610-2402","SR-FP505-HS-BK",25.30
"MP23-25C","F04U610-2402","SR-IM-CK-P-1.5-BK",3.00
"MP23-25C","F04U610-2402","SR-IM-CK-P-1.5-HS-L-BK",1.00
"MP23-25C","F04U610-2402","SR-IM-CK-P-1.5-HS-R-BK",1.00
"MP23-25C","F04U610-2402","SR-IMK-KBH-Y-BS-1326-0.25-BK",2.00
"MP23-25C","F04U610-2402","SR-IMK-KBH-Y-BS-1326-1.00-BK",16.00
"MP23-25C","F04U610-2402","SR-IMK-MNH-YL-1326-1.00-BK",1.00
"MP23-25C","F04U610-2402","SR-IMK-MNH-YM-1326-1.00-BK",3.00
"MP23-25C","F04U610-2402","SR-IMK-MNH-YR-1326-1.00-BK",1.00
"MP23-25C","F04U610-2402","SR-IMK-NKH-YL-1326-1.00-BK",1.00
"MP23-25C","F04U610-2402","SR-IMK-NKH-YM-1326-1.00-BK",3.00
"MP23-25C","F04U610-2402","SR-IMK-NKH-YR-1326-1.00-BK",1.00
"MP23-25C","F04U610-2402","SR-KR95-50-HS-BK",15.00
"MP23-25C","F04U610-2402","SR-MFP-K-170-18-M-BK",5.00
